Req ID,Type,Requirement,Spec reference,Implementation (file:function),Verification (TC IDs),Evidence path(s),"Status",Notes
RQ-24,Design,Mode 2: PC1 always displays MCU number + exit instructions,Mode 2 Overview,Mode2.c:Mode2_Function(),TC-INT-025,"evidence/SYS-08_Mode2SendColor.mov, evidence/SYS-09_Mode2BackAndForth.mov",Done,
RQ-25,Design,Mode 2: PC2 always displays MCU number,Mode 2 Overview,Mode2.c:Mode2_Function(),TC-INT-026,"evidence/SYS-08_Mode2SendColor.mov, evidence/SYS-09_Mode2BackAndForth.mov",Done,
RQ-26,Design,Mode 2: PC1 begins by displaying color wheel instructions,Mode 2 Overview,Mode2.c:Mode2_Function(),TC-INT-027,evidence/SYS-05_Mode2Enter.mov,Done,
RQ-27,Design,Mode 2: PC2 begins by displaying wait screen,Mode 2 Overview,Mode2.c:Mode2_Function(),TC-INT-028,evidence/SYS-05_Mode2Enter.mov,Done,
RQ-28,Design,Mode 2: PC1 begins by displaying current color,Mode 2 Overview,Mode2.c:Mode2_Function(),TC-INT-029,evidence/SYS-05_Mode2Enter.mov,Done,
CN-08,Constraint,Mode 2: Use Port F interrupt on SW1 and SW2,Mode 2 Overview,Switch.c:Switches_Init(); Mode2.c:PortF_Interrupt(),TC-INT-030,"evidence/Dataflow.png, evidence/Callgraph.png",Done,
RQ-29,Functional,Mode 2: SW2 changes LED on transmission MCU,Mode 2 Overview,Mode2.c:Mode2_Function(),TC-INT-031,evidence/SYS-08_Mode2SendColor.mov,Done,
RQ-30,Functional,Mode 2: SW2 updates PC1 display current color,Mode 2 Overview,Mode2.c:Mode2_Function(),TC-INT-032,evidence/SYS-07_Mode2ColorWheel.mov,Done,
RQ-31,Functional,Mode 2: SW2 updates transmission MCU LED to match current color,Mode 2 Overview,Mode2.c:Mode2_Function(),TC-INT-033,evidence/SYS-07_Mode2ColorWheel.mov,Done,
RQ-32,Functional,Mode 2: SW1 on transmission MCU sends color to waiting MCU,Mode 2 Overview,Mode2.c:Mode2_Function(),TC-INT-034,"evidence/SYS-08_Mode2SendColor.mov, evidence/SYS-09_Mode2BackAndForth.mov",Done,
CN-09,Constraint,Mode 2: Use UART RX interrupt on waiting MCU to receive color,Mode 2 Overview,RingBuffer.c:RingBuffer();,TC-INT-035,"evidence/Dataflow.png, evidence/Callgraph.png",Done,
RQ-33,Functional,Mode 2: Waiting MCU LED color updates to received color,Mode 2 Overview,Mode2.c:Mode2_Function(),TC-INT-036,"evidence/SYS-08_Mode2SendColor.mov, evidence/SYS-09_Mode2BackAndForth.mov",Done,
RQ-34,Functional,Mode 2: SW1 changes transmission MCU to waiting MCU,Mode 2 Overview,Mode2.c:Mode2_Function(),TC-INT-037,"evidence/SYS-08_Mode2SendColor.mov, evidence/SYS-09_Mode2BackAndForth.mov",Done,
RQ-35,Functional,Mode 2: SW1 changes waiting MCU to transmission MCU,Mode 2 Overview,Mode2.c:Mode2_Function(),TC-INT-038,"evidence/SYS-08_Mode2SendColor.mov, evidence/SYS-09_Mode2BackAndForth.mov",Done,
RQ-36,Functional,Mode 2: Updates waiting MCU PC display to show waiting screen and current color,Mode 2 Overview,Mode2.c:Mode2_Function(),TC-INT-039,"evidence/SYS-08_Mode2SendColor.mov, evidence/SYS-09_Mode2BackAndForth.mov",Done,
RQ-37,Functional,Mode 2: Updates transmission MCU PC display to show color wheel instructions and current color,Mode 2 Overview,Mode2.c:Mode2_Function(),TC-INT-040,"evidence/SYS-08_Mode2SendColor.mov, evidence/SYS-09_Mode2BackAndForth.mov",Done,
RQ-38,Functional,Mode 2: Input '^' and hit enter on PC1 to exit mode at any time,Mode 2 Overview,Mode2.c:Mode2_Function(),TC-INT-041,evidence/SYS-10_Mode2Exit.mov,Done,
CN-10,Constraint,Mode 2: Use UART0 RX Interrupt to capture mode termination,Mode 2 Overview,RingBuffer.c:RingBuffer();,TC-INT-042,"evidence/Dataflow.png, evidence/Callgraph.png",Done,
RQ-39,Functional,Mode 2: Both MCU LEDs turn off when mode is terminated,Mode 2 Overview,Mode2.c:Mode2_Function(),TC-INT-043,evidence/SYS-10_Mode2Exit.mov,Done,
RQ-40,Design,Mode 2: Display Main Menu on PC1 after mode termination,Mode 2 Overview,Main.c:main(),TC-INT-044,evidence/SYS-10_Mode2Exit.mov,Done,
RQ-41,Design,Mode 2: Display Waiting Screen on PC2 after mode termination,Mode 2 Overview,Main.c:main(),TC-INT-045,evidence/SYS-10_Mode2Exit.mov,Done,
RQ-42,Functional,Enter '3' and hit enter on PC1 in Main Menu to enter Mode 3,Mode 3 Overview,Main.c:main(),TC-INT-046,evidence/SYS-11_Mode3Enter.mov,Done,
RQ-43,Design,Mode 3: MCU1 begins in sending mode,Mode 3 Overview,Mode3.c:Mode3_Function(),TC-INT-047,evidence/SYS-11_Mode3Enter.mov,Done,
RQ-44,Design,Mode 3: MCU2 begins in receiving mode,Mode 3 Overview,Mode3.c:Mode3_Function(),TC-INT-048,evidence/SYS-11_Mode3Enter.mov,Done,
RQ-45,Design,"Mode 3: PC1 displays MCU number, Chat Room title, and exit instructions at all times",Mode 3 Overview,Mode3.c:Mode3_Function(),TC-INT-049,evidence/SYS-12_Mode3Chatting.mov,Done,
RQ-46,Design,"Mode 3: PC2 displays MCU number, Chat Room title, and exit instructions at all times",Mode 3 Overview,Mode3.c:Mode3_Function(),TC-INT-050,evidence/SYS-12_Mode3Chatting.mov,Done,
RQ-47,Design,Mode 3: PC1 prompts user to type a message and hit enter to send,Mode 3 Overview,Mode3.c:Mode3_Function(),TC-INT-051,evidence/SYS-11_Mode3Enter.mov,Done,
CN-11,Constraint,Mode 3: Message must have less than 30 characters,Mode 3 Overview,RingBuffer.c:RingBuffer();,TC-INT-052,evidence/ROB-02_Mode3LargeMsg.mov,Done,
CN-12,Constraint,Mode 3: Use UART RX interrupt on receiving MCU to read sent message,Mode 3 Overview,RingBuffer.c:RingBuffer();,TC-INT-053,"evidence/Dataflow.png, evidence/Callgraph.png",Done,
RQ-48,Functional,"Mode 3: After sending message, update receiving MCU PC to display the sent message on a new line",Mode 3 Overview,Mode3.c:Mode3_Function(),TC-INT-054,evidence/SYS-12_Mode3Chatting.mov,Done,
